Title,Genre,Rank,Year,Rating,Metascore,PG-Rating,Categories
Limitless,"Mystery,Sci-Fi,Thriller",542,2011,7.4,59.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
Spectral,"Action,Mystery,Sci-Fi",543,2016,6.3,39.0,TV-14,"Action & Adventure, Sci-Fi & Fantasy"
P.S. I Love You,"Drama,Romance",544,2007,7.1,,PG-13,"Dramas, Romantic Movies"
Don't Think Twice,"Comedy,Drama",547,2016,6.8,83.0,R,"Comedies, Dramas, Independent Movies"
"I, Daniel Blake",Drama,550,2016,7.9,77.0,R,"Dramas, Independent Movies"
The Break-Up,"Comedy,Drama,Romance",551,2006,5.8,45.0,PG-13,"Comedies, Dramas, Romantic Movies"
Colonia,"Drama,Romance,Thriller",555,2015,7.1,33.0,R,"Dramas, Independent Movies, International Movies"
Clash of the Titans,"Action,Adventure,Fantasy",576,2010,5.8,39.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
Kickboxer: Vengeance,Action,581,2016,4.9,37.0,TV-MA,Action & Adventure
Ghost Rider,"Action,Fantasy,Thriller",586,2007,5.2,35.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy"
Moon,"Drama,Mystery,Sci-Fi",599,2009,7.9,67.0,R,"Dramas, Independent Movies, Sci-Fi & Fantasy"
Handsome Devil,Drama,606,2016,7.4,,TV-MA,"Comedies, Dramas, International Movies"
Winter's Bone,Drama,607,2010,7.2,,R,"Dramas, Independent Movies"
2307: Winter's Dream,Sci-Fi,617,2016,4.0,53.0,TV-MA,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
Friday the 13th,Horror,624,2009,5.6,34.0,R,Horror Movies
Lawless,"Crime,Drama",638,2012,7.3,58.0,R,Dramas
The Pursuit of Happyness,"Biography,Drama",641,2006,8.0,64.0,PG-13,Dramas
The Ridiculous 6,"Comedy,Western",643,2015,4.8,18.0,TV-14,"Action & Adventure, Comedies"
Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical",651,2007,7.4,83.0,R,"Dramas, Horror Movies, Music & Musicals"
Insidious,"Horror,Mystery,Thriller",653,2010,6.8,52.0,PG-13,"Horror Movies, Thrillers"
The Daughter,Drama,660,2015,6.7,62.0,TV-MA,Dramas
War on Everyone,"Action,Comedy",675,2016,5.9,50.0,R,"Action & Adventure, Comedies"
"Love, Rosie","Comedy,Romance",678,2014,7.2,44.0,R,"Comedies, International Movies, Romantic Movies"
The Age of Shadows,"Action,Drama,Thriller",680,2016,7.2,78.0,TV-MA,"Action & Adventure, Dramas, International Movies"
Seven Pounds,"Drama,Romance",685,2008,7.7,36.0,PG-13,"Dramas, Romantic Movies"
The King's Speech,"Biography,Drama",686,2010,8.0,88.0,R,"Dramas, International Movies"
Dear Zindagi,"Drama,Romance",692,2016,7.8,56.0,TV-PG,"Comedies, Dramas, International Movies"
Closed Circuit,"Crime,Drama,Mystery",710,2013,6.2,50.0,R,"Dramas, Thrillers"
The Karate Kid,"Action,Drama,Family",725,2010,6.2,61.0,PG,"Children & Family Movies, Dramas"
Mr. Church,"Comedy,Drama",735,2016,7.7,37.0,PG-13,Dramas
The Blackcoat's Daughter,"Horror,Thriller",737,2015,5.6,68.0,R,"Horror Movies, Independent Movies, Thrillers"
Fracture,"Crime,Drama,Mystery",751,2007,7.2,68.0,R,"Dramas, Thrillers"
Lavender,"Drama,Thriller",757,2016,5.2,46.0,NR,"Dramas, International Movies, Thrillers"
Deuces,Drama,758,2016,6.6,36.0,TV-MA,Dramas
The Fighter,"Action,Biography,Drama",760,2010,7.8,79.0,R,"Dramas, Sports Movies"
